nickname,risk_profile,tech,energy_renewables,energy_fossil,healthcare,financials,real_estate,consumer,industrials,commodities,crypto,no_defense,no_tobacco,no_gambling,no_private_prisons,esg_preferred,us_only
maria_farrell,2,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0
andrew_velez,3,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0
doris_cooper,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0
patrick_wells,2,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1
kimberly_francis,3,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1
kristen_campbell,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1
shannon_martinez,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0
benjamin_donovan,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
cynthia_yu,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1
james_smith,3,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1
dana_oconnor,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1
taylor_ortiz,3,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
michael_mack,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0
brian_cummings,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0
theresa_davies,2,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1
leonard_marquez,3,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
krystal_roberts,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
eugene_jones,5,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
michelle_johnson,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
james_obrien,3,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1
audrey_vasquez,5,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1
sarah_elliott,4,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1
tracey_dawson,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1
anthony_hernandez,5,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1
natasha_jones,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1
william_deleon,4,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
donna_johnson,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
brent_greene,4,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
katrina_lopez,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1
deborah_watson,5,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0
michael_nixon,5,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0
jasmine_johnson,5,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1
susan_wilson,4,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1
alicia_riddle,2,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1
christina_collins,2,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1
ronald_walker,4,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0
brian_anderson,5,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1
richard_hanna,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1
travis_ryan,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
alison_mcdonald,5,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1
melissa_pena,2,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0
cindy_johnson,5,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0
angela_allison,2,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1
grant_alvarez,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1
emily_francis,4,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1
justin_weiss,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
molly_holland,5,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
jaime_stephens,2,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0
julie_ward,2,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0
tanya_rogers,4,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1
marcus_rodriguez,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
jamie_rivera,4,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0
veronica_powers,2,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1
brandon_pearson,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
emily_weiss,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
todd_lewis,2,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
anthony_day,3,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0
rebecca_harris,2,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
elaine_pearson,3,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0
maria_knox,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1
annette_reid,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1
nathan_schwartz,5,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
joseph_patel,2,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0
justin_harrison,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0
samantha_howard,2,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1
morgan_larson,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
troy_mcmillan,3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
robert_reed,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0
rachel_ortiz,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
maria_maldonado,4,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
daniel_scott,5,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1
jacob_rhodes,4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1
charles_williams,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1
mary_yang,3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
ronald_thomas,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0
charles_winters,2,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0
james_miller,3,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0
